RowID,UserID,TweetID,Text
143,19234329,704448194986377216,@apihtawikosisan It is interesting to see that Scholastic Canada has Raven Tales series available
144,19234329,704448265987600384,RT @LeslieMac: Learn more about how to critique kidlit with regard to race &amp; content via @teachingchange here: https://t.co/9WGyCCaNpM #Ste?
145,19247844,653617634345381888,.@AmySchumer's #SNL episode destroyed gun control opposition: http://t.co/2cRi7Bnhh4 http://t.co/KoiSXrSY1G
146,19247844,653629977448030208,#GIRLHERO: How women around the world celebrated International Day of the Girl: http://t.co/J89w4IRoHC
147,19247844,653630481230131204,Why I'm ditching chemical peels for facial acupuncture: http://t.co/eCvHuNZ50m http://t.co/3unTa0eSGJ
148,19247844,653641816248582144,10 things you didn't know about Kylie Jenner and Tyga's relationship: http://t.co/9QJLNN0Vtk http://t.co/oKknEE4Gpy
149,19247844,653647833732620288,How to rock an interview: Advice from a CEO headhunter http://t.co/TWyVcOfQaZ
150,19247844,653652363014733824,Watch what happens when these women give their boyfriends bikini waxes: http://t.co/A606rjg2qQ
151,19247844,653663722515378177,The accent nail trend is alive and well this fall: http://t.co/1HdZUhoh9j http://t.co/1Dv6cCc5WB
152,19247844,653670791687577600,OMG?Did @TaylorSwift13 and @CalvinHarris break up? @SelenaGomez weighs in on the rumors: http://t.co/lT1pwH50jm
153,19247844,653677785836331008,Why are people calling Hillary Clinton and Carly Fiorina liars? http://t.co/pFDhYHOhUe #51Million
154,19247844,653680961838796801,Host a #FEEDSupper dinner party this week?and help feed those in need: http://t.co/vaU5ybLTeP
155,19247844,653683067228393472,All of the bombshells from the first look at Season 11 of #KUWTK: http://t.co/0qUxz1rqJS http://t.co/8MyWEeydSx
156,19247844,653698425377148928,These @M_Lhuillier wedding gowns are the stuff dreams are made of: http://t.co/h5AzdEfZwX http://t.co/nAlXz4oIxM
157,19247844,653698424076922880,Bearded woman Harnaam Kaur's letter to her younger self will change your outlook on beauty: http://t.co/T8CqjTb7wc http://t.co/KjLU2zoVmF
158,19247844,653699948047953920,A day in the life of a 40-year-old woman with advanced breast cancer: http://t.co/FxfIYp7Ixz http://t.co/JPeSK0aCn7
159,19247844,653726853593755649,Fall makeup ideas from @ABCFpll stars @LucyHale
160,19247844,653739714508419073,The overskirt on this @LiancarloDesign  #wedding dress is flawless. #bridalmarket -@KimberlyFusaro http://t.co/1qcT8c1yVx
161,19247844,653742625388937217,John Legend and Chrissy Teigen are expecting a baby! Come see their adorable announcement: http://t.co/1RKbPbri9z
162,19247844,653743984481861633,Model @HilaryHRhoda got married in the most gorgeous custom @HouseofHerrera gown ever: http://t.co/W94PbNBo8S http://t.co/SUtBcQA1f6
163,19247844,653746238693732352,.@JenniferGrey and @GageGolightly reveal all the secrets behind @Amazon's Red Oaks: http://t.co/Zex8aXGeSv http://t.co/GjCEMTLaEy
164,19247844,653751514574508032,Congrats to @johnlegend &amp; @chrissyteigen?they're expecting! See their adorable announcement: http://t.co/1UuC3mVr5P http://t.co/oV9EEc7KkN
165,19247844,653753732891607040,Tulle time with @TaraLaTour
166,19247844,653757781254795265,All the scoop from tonight's #DWTS switch-up week: the first perfect score
167,19247844,653782753562001408,It's time to send your man back to school.... to earn a master's in female orgasm: http://t.co/bIQHEzTlI1 http://t.co/on0T5CK1Hw
168,19247844,653801860525068288,1995 called
169,19247844,653888315066859520,Our November cover star Sandra Bullock on landing a role originally written for a guy: http://t.co/NpoYTjkBxb
170,19247844,653907447535521792,These are the most-wanted drugstore beauty products in America: http://t.co/WL1tIYkcXs
171,19247844,653926045163372545,If boho #wedding gowns feel too casual
